f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,objectId,codigo_mun,EXCEL_ID,GlobalID
25817,Tocancipá,0.887573964497041,0.721821210438645,2.42587601078167,2.5062656641604,1.43527463428098,1.54152163102934,0,0.187617260787992,1.10887096774194,0.3125,0.573951434878587,0.541586073500967,1.15029514151657,2,25817,1ae98284-5d77-4eb8-8aef-ca858c552b6d,b8434e2d-4a75-45f9-8e50-a79d500023d3
25823,Topaipí,3.75,3.4375,3.48258706467662,4.91803278688525,3.49417637271215,3.62537764350453,0,0,0,4,0,0.980392156862745,3.00230946882217,3,25823,5d15f608-31bd-456b-8989-c4ce14aa11db,680a5b7a-c860-474f-a2dc-9bd3fb4091d3
25839,Ubalá,0.699300699300699,0.848484848484849,1.76470588235294,1.43540669856459,1.15020297699594,1.185536455246,3.84615384615385,2.22222222222222,3.1413612565445,0,2.93159609120521,2.26700251889169,1.3915547024952,4,25839,ad2efe0c-d1b9-4dab-a8c0-571a2c41ea25,7dcad8ea-bdca-4a56-95d4-1e96858d721a
25841,Ubaque,2.7027027027027,0.464037122969838,5.40540540540541,0,1.38169257340242,1.38169257340242,0,0,3.09859154929577,0.649350649350649,2.10727969348659,1.77514792899408,1.59362549800797,5,25841,9400a89c-726c-43bd-a1a4-acdc8ba4aa7e,bb266ce6-d8e7-46d2-a794-34f8b50b2693
25843,Villa de San Diego de Ubate,4.04624277456647,1.0477299185099,0.671140939597315,0,1.43945808636749,1.36327185244587,1.41176470588235,1.02222222222222,2.36593059936909,1.92525481313703,1.70792554212243,1.7394158188382,1.67552104617899,6,25843,477e68e8-6da6-4d41-8024-c7985b07d6cd,b860409b-504d-436b-947b-1468a47100c1
25845,Une,0,2.04081632653061,0,0,1.73160173160173,1.73160173160173,3.48837209302326,0.759493670886076,0.919117647058824,1.59574468085106,1.07317073170732,1.15416323165705,1.24653739612188,7,25845,bd836eeb-894f-45e5-b59c-61f95c4657f9,0d59a364-f6db-400f-b0db-c9b36fd89fdb
25851,Útica,0,4.0983606557377,0,0,3.59712230215827,3.59712230215827,0,1.08108108108108,0,1.92307692307692,0.437636761487965,0.71301247771836,1.28571428571429,8,25851,ca169c22-0740-4c82-8d3a-4da463032286,e5ffaecf-ca5d-41e5-a770-d97921ce3fae
25862,Vergara,1.51515151515152,2.21674876847291,0.54945054945055,0,1.68195718654434,1.57819225251076,11.7647058823529,1.40845070422535,2.76243093922652,0,2.64705882352941,2.15827338129496,1.79533213644524,9,25862,6cc6e3d3-654e-4861-81d5-c3b23c0c19b1,3807bb35-4496-4abf-84e3-b341faee902a
25867,Vianí,0,1.0989010989011,0.374531835205993,0,0.631578947368421,0.531914893617021,3.84615384615385,1.98675496688742,0,0,2.25988700564972,2.25988700564972,0.944669365721997,10,25867,1f885b26-8e18-4b40-856a-05f75b6d8707,2aaf3ec0-88d0-4bf6-afc5-291cb5a76942
25871,Villagómez,5.88235294117647,0,5.26315789473684,0,1.51515151515152,1.51515151515152,0,3.17460317460317,1.36986301369863,1.81818181818182,1.8018018018018,1.80505415162455,1.71149144254279,11,25871,9eee8322-11f9-4ff1-8234-e3a2de0cfb29,31affe01-91ea-41fd-8286-1fbd5dfbb91b
